,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002371.SZ,2022-12-30,230.2,230.79,224.25,225.3,227.64,-2.34,-1.0279,43693.2,989612.752
1,002371.SZ,2022-12-29,225.28,231.33,223.93,227.64,224.8,2.84,1.2633,62169.23,1417571.92
2,002371.SZ,2022-12-28,225.8,227.32,222.01,224.8,227.52,-2.72,-1.1955,43791.05,983710.889
3,002371.SZ,2022-12-27,223.76,228.2,221.8,227.52,223.76,3.76,1.6804,49617.13,1117657.221
4,002371.SZ,2022-12-26,217.39,224.26,217.39,223.76,217.82,5.94,2.727,55824.54,1241495.85
5,002371.SZ,2022-12-23,218.15,222.0,216.0,217.82,222.95,-5.13,-2.301,62054.85,1354237.751
6,002371.SZ,2022-12-22,228.89,229.49,222.65,222.95,228.0,-5.05,-2.2149,52397.68,1178650.847
7,002371.SZ,2022-12-21,231.78,232.2,225.33,228.0,231.83,-3.83,-1.6521,48828.53,1114141.888
8,002371.SZ,2022-12-20,232.0,236.98,229.2,231.83,234.4,-2.57,-1.0964,52143.43,1212676.082
9,002371.SZ,2022-12-19,239.0,241.17,234.0,234.4,241.22,-6.82,-2.8273,61661.58,1456844.723
10,002371.SZ,2022-12-16,244.0,244.83,238.0,241.22,247.12,-5.9,-2.3875,80774.39,1944619.791
11,002371.SZ,2022-12-15,238.61,253.5,238.06,247.12,242.3,4.82,1.9893,118378.72,2937995.475
12,002371.SZ,2022-12-14,249.9,250.55,240.29,242.3,235.3,7.0,2.9749,197986.2,4867139.08
13,002371.SZ,2022-12-13,243.96,243.96,234.38,235.3,243.96,-8.66,-3.5498,96117.46,2277218.096
14,002371.SZ,2022-12-12,245.0,250.0,240.5,243.96,244.81,-0.85,-0.3472,94831.19,2327466.284
15,002371.SZ,2022-12-09,239.0,249.01,239.0,244.81,238.0,6.81,2.8613,122130.79,2993389.646
16,002371.SZ,2022-12-08,239.0,241.12,235.16,238.0,239.32,-1.32,-0.5516,55374.96,1315606.879
17,002371.SZ,2022-12-07,239.0,241.98,236.5,239.32,238.3,1.02,0.428,87322.67,2084222.656
18,002371.SZ,2022-12-06,224.35,240.88,223.01,238.3,224.35,13.95,6.218,169076.44,3966884.8
19,002371.SZ,2022-12-05,226.92,227.5,221.0,224.35,226.93,-2.58,-1.1369,74282.11,1661617.092
20,002371.SZ,2022-12-02,229.0,232.65,225.16,226.93,230.99,-4.06,-1.7577,84115.97,1919332.527
21,002371.SZ,2022-12-01,226.0,232.2,224.57,230.99,222.89,8.1,3.6341,114508.82,2626052.473
22,002371.SZ,2022-11-30,224.15,228.21,221.0,222.89,225.01,-2.12,-0.9422,67113.18,1500016.251
23,002371.SZ,2022-11-29,224.0,228.0,220.44,225.01,224.0,1.01,0.4509,69512.72,1559857.484
24,002371.SZ,2022-11-28,220.0,224.62,218.77,224.0,225.01,-1.01,-0.4489,60138.59,1335222.303
25,002371.SZ,2022-11-25,227.0,234.44,224.5,225.01,229.62,-4.61,-2.0077,79383.05,1817736.158
26,002371.SZ,2022-11-24,227.0,232.23,225.58,229.62,225.76,3.86,1.7098,61585.39,1409367.557
27,002371.SZ,2022-11-23,228.33,229.91,221.67,225.76,229.71,-3.95,-1.7196,78838.55,1776539.901
28,002371.SZ,2022-11-22,230.0,235.0,224.77,229.71,230.7,-0.99,-0.4291,66866.99,1542632.321
29,002371.SZ,2022-11-21,228.0,233.0,226.77,230.7,230.53,0.17,0.0737,51667.92,1191712.113
30,002371.SZ,2022-11-18,239.99,244.9,230.01,230.53,242.45,-11.92,-4.9165,105524.31,2484520.649
31,002371.SZ,2022-11-17,240.41,242.58,231.02,242.45,242.13,0.32,0.1322,106455.1,2516446.317
32,002371.SZ,2022-11-16,250.0,250.0,241.01,242.13,250.01,-7.88,-3.1519,78582.53,1921083.45
33,002371.SZ,2022-11-15,239.48,253.0,237.01,250.01,237.48,12.53,5.2762,136569.86,3378393.489
34,002371.SZ,2022-11-14,237.0,242.74,234.45,237.48,238.22,-0.74,-0.3106,81907.19,1950597.813
35,002371.SZ,2022-11-11,246.75,247.98,237.79,238.22,235.0,3.22,1.3702,134049.91,3257373.375
36,002371.SZ,2022-11-10,247.2,250.96,233.2,235.0,249.6,-14.6,-5.8494,153064.74,3664075.37
37,002371.SZ,2022-11-09,258.36,260.88,247.0,249.6,258.46,-8.86,-3.428,89218.11,2249562.483
38,002371.SZ,2022-11-08,263.4,264.99,255.58,258.46,263.65,-5.19,-1.9685,65261.32,1687841.311
39,002371.SZ,2022-11-07,270.6,277.5,263.0,263.65,272.6,-8.95,-3.2832,83256.0,2221844.45
40,002371.SZ,2022-11-04,266.07,274.47,261.7,272.6,267.5,5.1,1.9065,96022.39,2574467.245
41,002371.SZ,2022-11-03,258.0,271.65,257.0,267.5,261.65,5.85,2.2358,80131.08,2133328.0
42,002371.SZ,2022-11-02,262.8,270.0,259.9,261.65,264.92,-3.27,-1.2343,76915.84,2022068.928
43,002371.SZ,2022-11-01,263.0,265.99,258.0,264.92,265.7,-0.78,-0.2936,72518.29,1896956.778
44,002371.SZ,2022-10-31,267.97,273.85,260.51,265.7,265.9,-0.2,-0.0752,82265.1,2200825.659
45,002371.SZ,2022-10-28,258.78,274.0,258.0,265.9,262.95,2.95,1.1219,88459.3,2376183.015
46,002371.SZ,2022-10-27,260.23,268.08,255.61,262.95,261.8,1.15,0.4393,88779.3,2326025.531
47,002371.SZ,2022-10-26,261.0,268.0,257.66,261.8,261.69,0.11,0.042,84278.07,2216067.13
48,002371.SZ,2022-10-25,262.2,271.88,258.31,261.69,265.9,-4.21,-1.5833,74222.87,1966794.946
49,002371.SZ,2022-10-24,259.0,275.54,257.0,265.9,262.62,3.28,1.249,93406.4,2507924.008
50,002371.SZ,2022-10-21,260.0,270.89,248.95,262.62,265.1,-2.48,-0.9355,110689.57,2845777.991
51,002371.SZ,2022-10-20,238.0,265.1,237.93,265.1,241.0,24.1,10.0,112124.96,2846868.264
52,002371.SZ,2022-10-19,236.79,244.07,234.28,241.0,238.9,2.1,0.879,77293.91,1855673.039
53,002371.SZ,2022-10-18,240.0,241.8,233.3,238.9,243.0,-4.1,-1.6872,99294.2,2356376.944
54,002371.SZ,2022-10-17,219.43,245.44,218.56,243.0,224.88,18.12,8.0576,171904.25,4018423.585
55,002371.SZ,2022-10-14,226.2,226.88,213.11,224.88,221.8,3.08,1.3886,154708.81,3416558.936
56,002371.SZ,2022-10-13,225.16,231.0,220.96,221.8,232.0,-10.2,-4.3966,123469.99,2780980.204
57,002371.SZ,2022-10-12,221.51,232.99,211.97,232.0,225.5,6.5,2.8825,166058.11,3665830.014
58,002371.SZ,2022-10-11,238.0,240.0,225.5,225.5,250.56,-25.06,-10.0016,120587.84,2745288.15
59,002371.SZ,2022-10-10,265.0,265.0,250.56,250.56,278.4,-27.84,-10.0,43788.45,1102929.085
60,002371.SZ,2022-09-30,294.8,294.8,278.02,278.4,291.78,-13.38,-4.5856,44072.41,1250393.022
61,002371.SZ,2022-09-29,285.38,293.8,277.8,291.78,285.22,6.56,2.3,48463.47,1395927.629
62,002371.SZ,2022-09-28,294.96,294.99,283.03,285.22,294.98,-9.76,-3.3087,32284.96,927469.106
63,002371.SZ,2022-09-27,291.1,300.65,288.98,294.98,291.05,3.93,1.3503,46672.01,1379034.614
64,002371.SZ,2022-09-26,281.12,296.5,281.05,291.05,285.0,6.05,2.1228,48774.15,1427671.328
65,002371.SZ,2022-09-23,296.0,297.89,282.83,285.0,295.88,-10.88,-3.6772,52977.33,1523220.354
66,002371.SZ,2022-09-22,295.02,300.0,289.41,295.88,297.22,-1.34,-0.4508,43052.16,1272875.365
67,002371.SZ,2022-09-21,307.02,309.23,296.3,297.22,310.35,-13.13,-4.2307,57772.73,1740821.659
68,002371.SZ,2022-09-20,316.0,317.9,297.85,310.35,316.0,-5.65,-1.788,56059.89,1733461.562
69,002371.SZ,2022-09-19,313.1,325.0,312.4,316.0,315.76,0.24,0.076,64568.12,2059924.14
70,002371.SZ,2022-09-16,308.0,323.88,306.0,315.76,311.0,4.76,1.5305,65519.25,2076199.047
71,002371.SZ,2022-09-15,323.0,325.0,302.63,311.0,326.41,-15.41,-4.7211,82473.72,2570529.205
72,002371.SZ,2022-09-14,307.8,328.78,306.01,326.41,314.03,12.38,3.9423,69290.06,2199269.863
73,002371.SZ,2022-09-13,314.0,321.3,311.2,314.03,312.5,1.53,0.4896,35144.76,1109111.966
74,002371.SZ,2022-09-09,312.01,315.0,308.0,312.5,313.03,-0.53,-0.1693,43688.22,1361492.773
75,002371.SZ,2022-09-08,311.75,319.99,307.73,313.03,315.0,-1.97,-0.6254,60824.39,1909897.02
